timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,0.308300241484192,0.00142890496700631,5.61695312323233e-06
30,NaN,NaN,NaN
60,1.0571864092317e-82,NaN,NaN
95,6.41610538044556e-90,NaN,NaN
150,NaN,NaN,NaN
200,NaN,NaN,NaN
300,NaN,NaN,NaN
350,NaN,3.69578681570502,NaN
450,NaN,NaN,0.00491298297571982
750,NaN,9.29879877811717,NaN
900,NaN,NaN,0.00827368287312513
1000,NaN,23.8208349271775,NaN
1500,NaN,1.01437404385393,0.00269396767248725
2000,NaN,1.67287536680961,0.00360613778819432
2500,NaN,0.766199638389664,0.010321481678327
3000,NaN,89.2978663512991,0.00500426348105296
4000,NaN,13.8103382809193,0.00101827264508074
4500,NaN,0.318199942739467,0.0176123849919437
5500,NaN,8.84149289069098,0.00203768589212441
6500,NaN,2.20278528882265,NaN
7000,NaN,NaN,0.0046417230333349
8000,NaN,2.63945787736952,0.000290571769221293
