timepoint,Glu_Obs,cGlu_Obs,Ind_Obs
0,37.1283461829631,0.00496859391745967,4.75423908231629e-06
40,NaN,NaN,NaN
80,1.79577823570244e-14,NaN,NaN
150,NaN,NaN,NaN
200,2.83394186698738e-16,NaN,NaN
250,NaN,NaN,NaN
300,NaN,NaN,NaN
350,NaN,23.1302160501381,0.0727067520915528
400,NaN,NaN,NaN
450,6.54178730869708e-17,NaN,NaN
700,NaN,1.03384721790761,NaN
750,NaN,NaN,0.0008544228524795
1000,NaN,2.70685723071256,0.0200507565869694
1500,NaN,1.64503193008746,0.0030816579447492
2000,NaN,10.1795230218569,0.00781852142389215
2500,NaN,15.2077417057097,0.00753001887823186
3000,NaN,1.9985427194009,0.000535050661256001
3500,NaN,6.69623879183349,NaN
4000,NaN,157.799320768079,0.0054544514743985
4500,NaN,NaN,0.00191922632903188
5000,NaN,1.98254440416341,NaN
5500,NaN,NaN,0.00153992720473657
6000,NaN,0.702444644741679,NaN
7000,NaN,NaN,0.00435968264081248
7500,NaN,0.827139304779786,NaN
