t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,1.14569602146765,0.97198232971522,0.9057040433445
60,NaN,NaN,9.78422385850126
65,NaN,0.755941794464142,NaN
70,1.71698275249379,NaN,NaN
100,NaN,NaN,9.90332241696215
150,2.64082947260858,0.600894346305129,NaN
200,2.94841240854745,0.529644954121367,6.51942680755707
250,NaN,NaN,6.55049052003759
300,2.81080650514751,0.430522976874424,5.27603146637441
350,3.48280523575648,0.470125490866684,NaN
400,NaN,NaN,4.84029367030308
450,3.65505836809759,0.600114057747686,NaN
500,NaN,NaN,4.07108661204609
550,3.04602259986949,0.537648137360778,NaN
600,NaN,NaN,2.93594096680886
700,2.79535337139435,0.66979128861516,NaN
750,NaN,NaN,2.77387837727372
800,NaN,0.678284784204922,NaN
850,2.15431754078531,NaN,NaN
900,NaN,NaN,2.73016465134068
1000,1.92470837392928,0.828497868427501,2.18588196923916
1500,1.37861165371588,0.843199188243262,1.70408917910209
