t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,0.96741049535581,0.900638101889476,0.991802273841969
10,0.867327973333386,0.978979510568211,0.902780434075581
20,NaN,1.11661491480962,NaN
25,1.0466633356652,NaN,0.983943598538356
30,NaN,1.00939978323778,NaN
35,1.01165177330865,NaN,NaN
40,NaN,NaN,1.10856113616069
45,NaN,1.09662942126399,NaN
50,0.91941308099628,NaN,NaN
55,NaN,NaN,0.983776227139682
60,NaN,0.902678477442242,NaN
65,0.993330003516867,NaN,NaN
70,NaN,NaN,1.01728616753228
75,NaN,1.15582218152452,NaN
85,1.16809864834745,NaN,NaN
90,NaN,NaN,1.04793332036144
