t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,0.961199740336379,0.906196019681684,1.04059691638769
9.5,1.23820436348481,NaN,NaN
15,NaN,1.15773655163572,1.10842651931256
20,1.24393052292856,NaN,NaN
30,1.1395790240104,0.977040235710152,1.17039301369281
40,0.941788488160515,NaN,NaN
45,NaN,0.937682616847516,1.08790704698148
55,1.08313873438548,NaN,NaN
60,NaN,NaN,0.842427499453024
65,NaN,0.959754334546199,NaN
70,0.981900647438293,NaN,NaN
80,NaN,NaN,1.17634074653343
85,0.982024843768027,1.11095092996827,NaN
100,NaN,1.08781635241518,1.13338198919387
