t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,1.13410500657696,1.07552256542071,0.97350577402367
10,NaN,0.894435962543373,1.06798836199384
15,0.997287885904328,NaN,NaN
20,NaN,0.931059529882857,NaN
25,0.940770176230237,NaN,1.22272496575947
35,NaN,0.979485483382197,1.10595023866882
40,1.05514534836235,NaN,NaN
50,NaN,1.02503977634937,1.23661150612454
60,1.02713581695169,NaN,NaN
65,NaN,1.01730407486983,NaN
70,NaN,NaN,0.87040550050666
75,1.18143709528198,NaN,NaN
80,NaN,0.991070719414439,NaN
90,NaN,NaN,1.12647255746874
100,1.04110901041274,NaN,NaN
