t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,0.85872799348706,0.969827263011091,1.03815499573992
45,NaN,NaN,73.9927566905707
70,NaN,0.938219622852932,NaN
75,1.53689626482626,NaN,NaN
95,NaN,NaN,61.7255773169607
150,2.09904626517065,0.666666829403666,61.7101844497316
200,NaN,0.520097948626506,44.7524633678775
250,2.64244953903251,NaN,34.4789841016794
300,2.24695650857578,0.782747596912142,NaN
350,NaN,NaN,20.2471155370663
400,2.4302540567684,0.666124961576639,16.7796999597351
500,NaN,0.67799449419298,13.5849391186144
550,2.27510173027856,NaN,NaN
600,NaN,0.769151818173173,8.42767742650735
650,1.79429082901632,NaN,NaN
700,NaN,0.956970635552348,7.07325509064364
800,1.96102734044667,NaN,NaN
850,NaN,0.937106730592055,4.54144555682485
1000,1.54264792216585,0.980015186938586,4.19133513626829
1500,1.09280982174433,0.971175005341568,NaN
