t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,0.927972504448361,1.0170170410913,1.31353501673029
55,NaN,NaN,37.7796343962655
75,1.67202098969578,0.871961537557136,NaN
100,NaN,NaN,29.8618620560378
150,2.04533849134531,0.723956177120649,29.1211769255043
200,NaN,NaN,19.0927105834683
250,2.6425638864608,0.621267402526517,NaN
300,NaN,0.619115624077999,13.6249602047093
350,1.96997538322047,NaN,9.67240293922584
400,NaN,0.660050209144713,NaN
450,2.27278260075574,NaN,7.70177503091796
550,1.96304723374709,0.763441483113665,4.44148985344792
650,1.77098527866712,0.89684938501077,4.12950246147888
800,1.64877341175688,0.889673761438178,2.4881080780436
950,NaN,NaN,2.58762885622961
1000,1.30051909529868,0.972508280707768,2.16885655591051
1500,1.19370168341563,0.975503021094244,NaN
