t,geneC_Obs,geneJ_Obs,Compound_1_Obs
0,1.07302296637794,0.89279068114692,0.939600032308783
50,NaN,NaN,18.9198953678078
65,1.52586294409482,NaN,NaN
70,NaN,0.843721307266105,NaN
95,NaN,NaN,15.1488483355296
150,2.46806502666703,0.643951167950323,11.3412218801125
200,2.40130848907977,0.616888549300656,9.22913667034169
250,1.98560140703351,NaN,6.57590318395558
300,NaN,0.533618355574665,NaN
350,2.16640504178945,0.522907280889365,4.30704611278464
400,NaN,NaN,3.27101723218971
450,2.03320615432755,0.672093192715727,NaN
500,1.98990013043076,NaN,2.32563993053394
550,NaN,0.637123995264583,2.28793747626133
650,1.96420592205379,NaN,NaN
700,NaN,0.867137920805135,1.51092386510622
750,1.56898504562361,NaN,NaN
800,NaN,NaN,1.31881324972941
850,NaN,0.908889070090595,NaN
900,1.36049864297503,NaN,NaN
950,NaN,NaN,1.1428803475095
1000,1.30094745947775,1.01845297523135,1.09632736590155
1500,1.20545747693122,1.0489923807955,NaN
