t,dEpo_e_Obs,Compound_1_Obs
0,44.8183490872457,258.630707787132
30,54.6035158954389,NaN
35,NaN,280.159116597296
65,45.5669688210178,NaN
70,NaN,348.19067555079
100,183.132585974757,466.494813793828
150,149.723894237878,649.545533336717
200,350.331689021364,787.347654132085
250,427.395703332661,805.365226487586
300,516.970701063479,844.776562244198
350,517.84613045062,NaN
400,601.389532028723,970.167276586416
450,NaN,1101.0928869266
500,725.238364913729,NaN
600,682.355184429524,1291.72426302786
700,NaN,1202.56422758162
750,842.605080934845,NaN
