t,Pathogen_Obs,Compound_1_Obs
0,0.961220022143442,7126.09561643524
3.5,1.54032210708274,1116.86617698421
6.5,3.21820261829524,NaN
7,NaN,915.304652148508
10,25.8830690556651,325866.416129352
15,0.010072195330376,40748.8360901546
20,0.0104415824187292,21947.2158470431
25,0.0112267719718663,15680.6933532788
30,NaN,15356.548528573
35,0.00980913513781277,14098.5857639731
40,0.0104722448279485,NaN
45,NaN,16622.4868842657
50,0.00919112368996173,NaN
55,0.0107038964638149,14735.7265623724
65,NaN,14362.8086494474
70,0.00983371562856667,NaN
