t,IPR_A_Obs,IPR_I2_Obs
0,-0.0292410840369522,0.0633784574924208
0.15,0.858209796114383,NaN
0.2,NaN,0.216331721879524
0.3,0.590715565130188,NaN
0.4,NaN,0.408128045278473
0.45,0.570602968476768,NaN
0.6,0.526047936672038,NaN
0.65,NaN,0.382602281708824
0.75,0.428342416180666,NaN
0.9,NaN,0.51425672088214
0.95,0.560685241097109,NaN
1,0.522365901267621,0.424637893503
1.5,0.417488936779343,0.543812641340861
2,0.524441464015251,0.53675909772151
2.5,0.523688187231337,0.626355287803738
3,NaN,0.535482270326593
3.5,NaN,0.492665276732092
