t,input_il6,STAT3_Obs
22,0.1,13.1958828815062
22,0.1,14.5802579809715
22,0.1,17.6446495535874
22,0.1,18.5952420322081
22,1,15.7247184281079
22,1,14.1670181755701
22,1,15.6633664357745
22,1,15.2774385672752
22,5,11.2449362501819
22,5,12.5177919294885
22,5,12.4169878575229
22,5,12.0342335958797
22,10,11.2761476971579
22,10,11.5746047941596
22,10,11.0232428046422
22,10,10.7476883292294
22,50,11.2759817061159
22,50,11.2036320065784
22,50,11.9935060024037
22,50,13.3459958882497
22,100,9.94477019708832
22,100,10.8240045450098
22,100,9.82712893862292
22,100,10.4774921591556
22,500,11.3420525579318
22,500,13.1870444215962
22,500,14.2343884368323
22,500,12.5778723061436
