t,STAT3_Obs,nSOCS3RNA2_Obs
0,13.6193292599817,0.00938827441214173
10,8.23975285592814,NaN
20,6.36019880041138,0.779139488063783
30,13.9177411732557,NaN
40,NaN,0.223565636462778
45,15.0554977352804,NaN
55,15.4201572773822,NaN
60,NaN,0.010150627134812
70,14.0638029905503,NaN
80,NaN,0.0047121171696611
90,15.9249391584218,NaN
100,12.0328523016231,0.0326529470155761
150,15.2163060609937,0.0433113225487634
200,NaN,0.0341919879954728
250,NaN,0.0496529339298295
300,NaN,0.000713493997726605
350,NaN,0.0397346515079746
400,NaN,0.0551618918785358
