t,input_ruxolitinib,nSOCS3RNA2_Obs
21,0,0.000185807267537256
21,10,0.00014488127589647
21,10,0.000154410752227813
21,50,8.83912055046072e-05
21,100,5.4137867034027e-05
21,100,5.619938747832e-05
21,100,5.67191057910536e-05
21,100,5.96501080488719e-05
21,200,3.76456391293703e-05
21,200,4.61395326595605e-05
21,400,2.54608842421705e-05
21,400,2.94714245705789e-05
21,500,1.95537093557259e-05
21,500,2.50083492989657e-05
21,600,1.77089463972372e-05
21,600,2.84812730556362e-05
21,800,1.61971862262307e-05
21,1000,2.67172575981091e-05
21,2000,2.45570295148827e-05
21,5000,1.0224078190098e-05
21,5000,2.34810072846495e-05
