t,input_il6,STAT3_Obs,nSOCS3RNA2_Obs
5,5,16.5884135636789,0.000341131774105536
5,5,14.9500756674588,0.00195332980640423
5,5,14.5783613639297,0.000941220533314666
5,5,13.5207545425825,0.000563575820507403
5,20,11.9309441898223,0.00437172099284701
5,20,12.9987014706079,0.00533737303476198
5,20,12.5443206404543,0.00449751815017583
5,20,12.3718938048752,0.00823575952601434
5,40,14.4585434025506,0.000496355421814208
5,40,12.5834387099979,0.000490193303977427
5,40,16.0474199486723,0.000764654799695668
5,40,15.8237765437543,-0.000735205061818556
5,90,9.8174564013254,0.029016208393384
5,90,11.6440648246104,0.0304373379643077
5,90,9.37685766025087,0.0309377368388988
5,90,10.9874364533402,0.029604796219623
