t,STAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs
0,14.7050354187648,0.0747608040715429,-0.0119289902734004
10,13.0466248806124,NaN,0.274626641503744
15,NaN,1.96775958486744,NaN
20,9.50903964424877,NaN,NaN
25,NaN,1.47214353091671,1.85796052684368
30,13.6347349484447,NaN,NaN
40,NaN,NaN,0.205706483596415
45,14.3119675118673,-0.0755022931079879,NaN
55,15.5039674386874,NaN,0.0098147294705092
60,NaN,0.0518228511809295,NaN
70,14.6253673687615,NaN,-0.0640913459147992
80,NaN,-0.0325350222562685,NaN
90,14.3125923111902,NaN,0.023072818026689
100,16.4072691236488,-0.0059832132345383,-0.00752332289494846
150,11.3667552894835,0.0918755710527163,NaN
200,12.6814114452622,NaN,NaN
