t,input_il6,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,2.5,0.000164690436027006,0.000184724998644329
0,2.5,0.000181046064321521,0.000182901101610021
0,2.5,0.000181647397790649,0.000183700499770098
0,2.5,0.000191236955399559,0.000179134108247082
0,2.5,0.000202324995996463,0.000183536965389386
0,10,0.00014843747358148,0.000207725125556407
0,10,0.000176633463109384,0.00013562359044565
0,10,0.000186653467594138,0.000118788889783103
0,10,0.000189390371568998,0.000158749290375899
0,10,0.000236791364399398,0.000179484354341284
0,60,0.000174337396491785,0.000168205951247696
0,60,0.000177069715018539,0.000195937932887448
0,60,0.000200122882082426,0.000177243677284038
0,60,0.000205934319798358,0.00021651323734834
0,60,0.00020887570446355,0.000168873162213705
0,120,0.000170746495961475,0.000217957688785225
0,120,0.000178206325302079,0.000177805089321815
0,120,0.000179547293587819,0.000176679237331768
0,120,0.000204034378223693,0.000218294423254408
0,120,0.000213657107303536,0.000177187895511409
