t,input_il6,STAT3_Obs
100,0,16.3181529393922
100,0,14.2497910562842
100,0.0005,18.0622047537238
100,0.0005,14.7148903022272
100,0.005,15.1282900448405
100,0.005,16.7628146252075
100,0.05,16.1861135043413
100,0.05,15.6725413470592
100,0.1,14.6158889098541
100,0.1,15.9727403985179
100,0.5,17.1653996425425
100,0.5,16.1121086117421
100,1,15.8269968017865
100,1,13.9203737961719
100,1,12.5288930960156
100,1,16.4354207598372
100,1,13.4134863533943
100,1,16.5319673788898
100,2.5,14.0425128320302
100,2.5,15.3571264378903
100,5,13.9899301368686
100,5,12.630955427063
100,5,14.0161122311158
100,5,15.0684077386275
100,5,14.8054592514458
100,5,13.5620050537717
100,10,12.1894342589088
100,10,12.5309662417069
100,10,17.0009231467073
100,10,16.6473446302394
100,10,13.8079834010506
100,10,13.9752979052264
100,25,13.8808943944746
100,25,15.1305844436776
100,25,10.1270122014623
100,25,13.0385740803604
100,25,14.7106561294232
100,25,12.9278970008932
100,25,13.8545390365231
100,25,11.1536743050252
100,50,12.6656557222326
100,50,14.5855454233642
100,50,15.0569659999236
100,50,14.8981465614515
100,50,15.0241747230466
100,50,13.2142152667823
100,50,15.462751980264
100,50,17.3927232013902
100,100,13.3806570691339
100,100,14.0043820343916
100,100,13.4076859015717
100,100,14.0367178537621
100,100,14.631170256653
100,100,15.0133567389375
100,100,14.218425485893
100,100,11.4757331458397
100,200,14.2089086098637
100,200,12.1580144948342
100,200,16.7077286787634
100,200,11.8954987993013
100,200,12.5780326613896
100,200,13.1527315488824
100,500,13.088238237432
100,500,15.4509196220186
