t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0106535180350301,24.1285757085697,40.6914278714405
7.5,NaN,36.447603325072,NaN
9,0.103034810392899,NaN,44.3255891339203
15,NaN,51.2189434143723,NaN
20,1.3826750006962,NaN,44.4857578207805
25,NaN,41.621303568207,NaN
30,1.32973955018437,NaN,50.4562148247522
35,NaN,28.099966534583,NaN
40,0.310911685383512,NaN,56.1253809751311
45,NaN,24.8012032419729,NaN
50,0.0689201818521304,NaN,NaN
55,NaN,23.8553638482776,41.7680836267219
65,0.0525399211098446,NaN,38.5242932220325
70,NaN,24.5495280253366,NaN
85,0.00618135655748478,NaN,48.4156660119859
90,NaN,17.771465938088,NaN
100,-0.0626602889917185,24.250003166874,49.253811868072
150,NaN,NaN,43.9276522113452
