t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0296151555636668,0.0268405056039773,27.3916919457863,34.4627187562295
8.5,NaN,NaN,31.0887058761368,46.7586980254527
10,NaN,0.0354990872517368,NaN,NaN
15,NaN,NaN,33.1555453579611,38.8739120567108
20,0.170906743876672,0.123605967584945,NaN,NaN
25,NaN,NaN,38.0401985900251,41.936923376707
35,0.271215785737617,0.271164189581106,32.0993960541369,38.24142956534
45,NaN,0.215465986388115,NaN,NaN
50,NaN,NaN,33.4708357712387,48.5434491558938
55,0.100013879650921,NaN,NaN,NaN
60,NaN,0.0929940931134316,29.1516648215656,42.5092544858508
75,NaN,NaN,29.3334148762585,NaN
80,0.0832256353442585,0.0883096362231417,NaN,48.5561527623084
90,NaN,NaN,28.3104977885452,NaN
95,NaN,NaN,NaN,39.6641753909117
100,0.0932297059652695,0.0989879613846371,24.6961626023986,54.5565684958594
150,0.0624954438243563,0.07383185770898,24.301325619944,47.6692754692479
200,0.0808154501969057,NaN,NaN,NaN
250,0.0867545400853955,NaN,NaN,NaN
300,0.100597095401035,NaN,NaN,NaN
350,0.0756919879209554,NaN,NaN,NaN
