t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0182750834533693,-0.0163052900734486,25.3689970917678,42.5216986834802
6.5,NaN,NaN,29.0921995517049,NaN
7.5,NaN,NaN,NaN,45.0273685333132
8.5,0.0368766643505018,NaN,NaN,NaN
15,NaN,0.120638361285224,37.6510205816288,50.1967281940241
20,0.45274234403337,NaN,40.8121621193943,NaN
25,NaN,0.50499055862512,NaN,40.5485920834896
30,0.665357233186487,NaN,34.571579157386,NaN
35,NaN,NaN,31.2610118649654,47.7889440188381
40,0.342732509065683,NaN,NaN,NaN
45,NaN,0.300328950870633,NaN,45.3635540726406
50,0.10866208481289,NaN,34.0292664882455,NaN
55,NaN,NaN,NaN,48.8076873841243
60,NaN,0.0468454420645943,25.636968059069,NaN
65,0.0533647558499118,NaN,NaN,NaN
70,NaN,NaN,NaN,45.4495359037679
75,NaN,NaN,27.7098224999516,NaN
80,NaN,0.0733203148762573,NaN,NaN
85,0.0651043996467424,NaN,NaN,46.5651545309744
100,NaN,0.082788142492519,NaN,44.9641041350083
150,NaN,NaN,NaN,54.5228862928823
