t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.025448578224388,20.6819739295544,54.6557878517704
7.5,NaN,44.411573006993,NaN
8.5,NaN,NaN,39.4774267620554
10,0.221933690430321,NaN,NaN
15,NaN,70.4579215495376,49.0664939747635
20,2.48687501190991,NaN,NaN
25,NaN,45.5755753009941,58.9739145187744
35,0.952469679343334,32.6807709657776,53.8533800283631
45,NaN,27.8453127715303,40.9655456911206
50,0.142159115708129,NaN,NaN
55,NaN,16.1137887011854,NaN
60,NaN,NaN,48.1233745371748
65,0.00395895025289713,NaN,NaN
70,NaN,21.2752271901315,NaN
75,NaN,NaN,47.9263913973206
85,-0.0194279879009004,16.8506248390626,NaN
90,NaN,NaN,47.1633517143637
100,0.0142318721882108,23.3216005168386,44.305021752478
150,-0.00181005782517878,NaN,34.8810594516603
