t,input_il6,nSOCS3RNA3_Obs
380,0.1,0.0131428986752169
380,0.1,0.0202433585312906
380,0.5,0.0384663954985677
380,0.5,0.00926622944440042
380,1,0.0581200495222396
380,1,0.0243732736845494
380,2.5,0.150323099931745
380,2.5,0.10179025067324
380,5,0.347991592577165
380,5,0.349822267980372
380,10,0.0671942376244173
380,10,0.0435197248774918
380,25,0.180203500180185
380,25,0.171491073206043
380,50,0.0771806008443041
380,50,0.0688413969304892
380,100,0.257855110995774
380,100,0.222657458289485
380,500,0.592214216747959
380,500,0.656747449272829
