t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0634881063246538,23.0983978429166,52.7198445559019
8.5,NaN,NaN,48.2102267277045
9,NaN,56.6729029954826,NaN
10,0.424651832855293,NaN,NaN
15,NaN,NaN,51.4625679837822
20,3.31690358518005,49.7867544099959,NaN
25,NaN,NaN,56.7307198332606
30,NaN,30.3958608072995,NaN
35,0.634459541075928,NaN,52.5758221640338
40,NaN,23.9625392092005,NaN
45,0.15504204405122,NaN,NaN
50,NaN,28.2400541065174,45.8624396122729
60,0.0450001612968579,NaN,52.725525455896
65,NaN,22.0473317720764,NaN
80,-0.0506183428065106,23.3396901647758,34.0156408165351
95,-0.0832064994249125,NaN,45.7964359366187
100,0.025858675162395,23.2435569418287,47.4730472274485
150,0.0593645104941834,NaN,NaN
