t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0110551145998273,26.3320895461589,40.0144066338595
7.5,NaN,73.8744690710189,NaN
9,NaN,NaN,47.8465460290849
10,1.15490270380611,NaN,NaN
15,NaN,99.4365052313019,NaN
20,7.05544422102315,NaN,80.6414278748481
25,NaN,47.0350453273624,NaN
30,NaN,NaN,80.2185953015721
35,1.24860194941276,40.0885295759711,NaN
40,NaN,NaN,55.7763242682079
45,NaN,27.9342776709423,NaN
50,0.0774083696105858,NaN,45.1953074334045
55,NaN,12.9057475303993,NaN
65,0.0480492352784444,NaN,49.4158955007395
70,NaN,24.1056356163944,NaN
80,0.319484127627684,NaN,42.7692026294428
85,NaN,19.8093606984975,NaN
95,NaN,NaN,44.1067473404169
100,0.0277085451125864,28.2580975638964,53.3160711942571
150,0.151888166840743,NaN,NaN
