t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0088578496544769,38.4670076647775,46.4406882488702
8.5,NaN,NaN,39.7057308275157
10,1.11693903933082,94.7553404552064,NaN
15,NaN,NaN,68.791904796538
20,7.35827724340259,71.9739717435579,NaN
25,NaN,NaN,73.1255072124123
30,NaN,37.4981753819187,NaN
35,1.50999941695898,NaN,67.1831449667313
45,NaN,23.067693594668,NaN
50,0.11235909829941,NaN,47.2640493342376
60,NaN,15.3198764476868,43.0647800122709
65,-0.022768216172597,NaN,NaN
75,NaN,16.8113097057939,35.1111114301768
80,0.069208420388049,NaN,NaN
95,NaN,NaN,39.0816027626012
100,-0.120674739718843,17.986349674895,36.1340481520064
150,0.0917934562670376,NaN,NaN
