t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0248834695048512,0.055837393471394,21.6665499718907,39.1924416196257
10,0.413433424487545,NaN,63.2085060452541,38.6952839305849
15,NaN,0.954206467932824,NaN,NaN
20,3.57398379612733,NaN,62.9499539345351,67.1918032037948
30,NaN,2.99099799102801,NaN,NaN
35,1.19789420266082,NaN,34.7033332790775,53.9662033422803
45,NaN,NaN,23.0162378702768,50.1552545297264
50,-0.0127061868479851,0.388494813634925,NaN,NaN
60,NaN,NaN,NaN,43.8647369580506
65,-0.072964756872488,0.0283349634142351,18.8157344847902,NaN
80,NaN,NaN,38.4373676931551,48.6757637745162
85,0.0777449946020564,NaN,NaN,NaN
90,NaN,0.0362996207500356,NaN,NaN
100,0.258833080501103,0.256387490786907,28.3831275874133,50.5053955027551
150,0.196638178360703,0.172870395030445,35.5833044524924,45.6700533395147
