t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0548591471436706,31.2708588426792,40.2411071324486
8,NaN,50.1023155717849,NaN
10,0.384776327507213,NaN,NaN
15,NaN,74.8270230154375,53.4016584969523
20,3.61343060575995,NaN,NaN
25,NaN,51.5973044021272,NaN
30,2.15639137094986,NaN,NaN
35,NaN,31.9148859406056,49.4407707928386
45,0.138294803514366,21.0660454731977,NaN
50,NaN,NaN,53.1068750432707
60,-0.0113631967017799,21.5713383866392,NaN
70,NaN,NaN,43.956603371207
75,0.111188672341783,22.7175289847381,NaN
90,-0.00935790095877552,15.5568374580371,45.2681594567953
100,0.00593712970654659,18.4408464046493,41.398806876222
150,0.0905027818561297,NaN,49.2448790480083
200,NaN,NaN,35.1010793041691
250,NaN,NaN,40.5596025493373
300,NaN,NaN,45.7885928620823
350,NaN,NaN,54.6018325577103
