t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.213933559559999,21.7140430339524,48.5875643677713
8,NaN,76.0770355791914,NaN
9,NaN,NaN,43.022114245976
15,4.83128126040355,102.082409497446,NaN
20,NaN,NaN,68.8462239846548
25,5.75016942035406,56.4506731248836,NaN
30,NaN,NaN,86.2539703277606
35,NaN,38.2939443714427,NaN
40,0.786141730688154,NaN,57.6154990527421
45,NaN,24.3298673579731,NaN
50,NaN,NaN,52.1868739572776
55,0.0358863490050556,NaN,NaN
60,NaN,26.4254044888849,NaN
65,NaN,NaN,53.5280414675142
75,0.00543365588722891,19.8662349232849,NaN
85,NaN,NaN,54.8364601526864
95,-0.0371988410817308,17.8289781153823,NaN
100,0.154141554676365,17.2315826927542,45.7412343837402
150,-0.0946896565492885,NaN,NaN
