t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0210584415678391,29.1815517281723,51.2120427849757
3.5,NaN,NaN,53.4740927672006
4,NaN,46.5638586078324,NaN
6.5,0.119043699108245,NaN,NaN
7.5,NaN,NaN,33.9512978012027
8,NaN,78.0281030507031,NaN
10,NaN,NaN,46.1552011938575
15,5.15114741869472,99.5182073618413,53.8213173299189
20,7.29011929068387,68.7084150320557,69.1576208329956
25,5.93638406245808,NaN,66.6133244848562
30,NaN,43.5423600280617,74.9300625775174
35,1.53303952302554,33.3404355768006,NaN
40,NaN,30.5794861547973,65.7552264814247
45,0.339306376191612,NaN,61.2915143819002
50,NaN,21.8490096831647,NaN
55,0.167349065024366,NaN,52.3366659813367
60,NaN,18.2184131184437,NaN
65,-0.139058030571743,NaN,42.382409393612
75,NaN,26.0704631154147,NaN
80,0.280343818995827,NaN,49.0846160565664
95,-0.0384457892707356,NaN,NaN
100,0.104567271551847,NaN,NaN
150,-0.0483140398264851,NaN,NaN
