t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0113498759724249,18.5151022334648,37.0650783839182
8,NaN,65.7587985660285,NaN
9.5,0.662238787646112,NaN,NaN
10,NaN,NaN,60.4655191818178
15,NaN,78.7016325030651,NaN
20,5.52091951681163,NaN,69.2445151442101
25,NaN,52.1972497070591,NaN
30,2.91471272737539,NaN,NaN
35,NaN,37.3320448222361,68.7862222097597
40,0.41436506651042,NaN,NaN
45,NaN,17.3460276192948,56.2917782482496
55,0.0680635554857868,NaN,NaN
60,NaN,21.3676320356542,47.1790791306789
70,-0.0583603279547412,NaN,NaN
75,NaN,17.8144665171162,NaN
80,NaN,NaN,45.6873254939543
85,0.0265860453573822,NaN,NaN
95,NaN,14.0260208164726,NaN
100,-0.4289067592097,20.1030148644295,48.674653903845
150,-0.113966141949936,NaN,45.681996155013
