t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0243484814611572,31.8114934536414,48.0600853444374
4.5,0.0214627375264049,NaN,NaN
9,0.011977984239442,NaN,NaN
15,0.00560140653854487,81.486595862173,NaN
20,0.00173752458567025,NaN,42.7570880045269
25,-0.000808853175744016,NaN,NaN
30,0.000942459002532092,NaN,NaN
35,-9.7118326682812e-05,92.4621657267549,NaN
45,0.000501398705170285,NaN,47.2130018510459
55,-0.000515429839790758,86.6943952432493,NaN
65,-0.000831599834751909,NaN,43.7765419967226
70,NaN,84.8244489964337,NaN
75,0.000313866388673915,NaN,NaN
90,NaN,NaN,51.1001458500149
95,NaN,86.2668335974538,NaN
100,NaN,71.9452579304127,44.4574803043527
150,NaN,74.0752919792582,35.9881151553819
200,NaN,66.138563323003,44.6143140144086
250,NaN,67.9035446557193,36.7998252046912
300,NaN,69.5243525513443,49.8239627373296
350,NaN,NaN,37.7964525522641
400,NaN,68.1097728679671,NaN
450,NaN,57.2748776164373,45.4452360418761
