t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0233214088043227,23.4443471945501,43.1899505530751
8,NaN,52.7267187996901,NaN
10,0.374680923021285,NaN,55.2430988524404
15,NaN,42.9417805748557,NaN
25,0.775689540696404,29.3943646622134,47.3765966679227
35,0.167581667829366,22.8651869044269,46.2712680402389
45,NaN,20.0641914478714,NaN
50,-0.0217746525854857,NaN,52.3086939933341
60,NaN,19.6128593384328,NaN
65,-0.00886079529520037,NaN,40.7492156912604
75,NaN,22.7396202152843,NaN
85,-0.0250778231076535,NaN,46.3122524262815
95,NaN,21.4433939474492,NaN
100,0.00412609082434039,20.381222514356,55.7705194196016
150,-0.0202392686277102,NaN,49.6159609284457
