t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.140904581598223,24.5852153440009,50.6513269824878
9,-0.140267255403222,70.2784319895765,NaN
10,NaN,NaN,41.2121074526592
20,-0.112981360932943,90.520318579231,48.2160786149979
30,-0.208038181140297,84.8879261506144,45.6380917202803
40,9.01167072738606,106.467953093178,NaN
45,NaN,NaN,85.2881817805819
50,6.10207547767084,NaN,NaN
55,NaN,48.8792485422589,NaN
60,NaN,NaN,73.5512148434912
65,0.301550356945854,NaN,NaN
70,NaN,30.0601452834725,NaN
75,NaN,NaN,35.9700763561479
85,-0.0475224110744083,NaN,NaN
90,NaN,17.7051663203524,45.6840853978984
100,0.118903102296588,25.1238970583242,43.1649192630283
150,0.102371849572369,NaN,40.322583220173
