t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.109935406676858,0.139014004517064,27.9861760935274,39.2859855782462
8.5,0.620311549192058,NaN,NaN,52.5076606813313
10,NaN,0.546366375728274,92.4497503903623,NaN
20,7.39494777847111,5.75314813519901,67.1423700243411,83.5025924912826
25,5.93914148106807,NaN,NaN,NaN
30,NaN,NaN,35.8551550994111,73.8934076533541
35,NaN,2.5801981637783,NaN,NaN
40,0.712424260455618,NaN,NaN,56.2841562314586
45,NaN,NaN,16.8258224172122,NaN
50,0.132214875613851,0.194671099802925,NaN,50.3267529455644
60,NaN,NaN,18.5857574536011,NaN
65,0.141005517373859,-0.109211496830266,NaN,32.673555501942
75,NaN,NaN,29.0252546941144,NaN
80,0.476781256208347,NaN,NaN,45.5056503243589
85,NaN,0.0866203543728097,NaN,NaN
100,0.386020229991648,0.520761078870705,42.0488613348397,50.6426410722027
150,NaN,0.0814638133116046,NaN,NaN
