t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0363736033105965,25.79436656824,46.0051772557039
9,0.729944907504364,NaN,NaN
9.5,NaN,76.5387259948452,49.2117921697086
20,3.88152116197847,41.1308757167362,67.5388208133226
30,1.08503936149761,27.3528985986059,71.9516541960497
40,0.184111477986433,28.1180929303633,44.0914629028992
50,0.0940834975842783,NaN,NaN
55,NaN,14.53535057484,55.1311714617999
65,0.0811122239414805,NaN,NaN
70,NaN,15.0012824273953,43.6284842697113
80,0.105416842811312,NaN,NaN
85,NaN,NaN,39.8612761974571
95,NaN,28.5469219499576,NaN
100,-0.0690607346157497,28.0624267740412,52.7269338167773
150,NaN,NaN,42.71962877789
