t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.103269794059601,22.6535316506716,45.4873556178263
8.5,NaN,NaN,45.4045823369217
9.5,NaN,87.2442172704296,NaN
10,1.08708528423681,NaN,NaN
15,NaN,NaN,63.4005414411299
20,NaN,74.3853020453686,NaN
25,6.05899280318015,NaN,74.1526547493104
30,NaN,40.9790752211209,NaN
35,1.65579954550453,NaN,75.643974262396
40,NaN,26.8731575560123,NaN
50,0.222916397414466,NaN,52.1723013894938
55,NaN,25.321478434968,NaN
60,NaN,NaN,41.9800252689977
70,-0.00947572610762031,NaN,NaN
75,NaN,27.3266030360796,52.0366204690759
90,0.50129946363058,NaN,NaN
95,NaN,29.315564934356,42.1062277593004
100,0.378879088018677,33.1051164360013,52.624573304669
150,-0.0670802584475169,NaN,NaN
