t,input_il6,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
8,5,0.00648498063803961,30.4436633943474,41.9808001184812
8,5,0.0189709496869988,23.384087397743,42.702913651792
8,5,0.0290685916066296,26.0760873891852,48.0793740736056
8,5,0.0313248396367945,32.1179753943656,47.9782613560543
8,20,0.0737625303351577,53.0449890594885,57.3648389032197
8,20,0.0829876712849784,45.4827474744003,55.8342703366583
8,20,0.0910057084355138,45.5098688792039,48.3540540724185
8,20,0.0951580911658484,36.1828714426553,42.4056028698353
8,40,0.144792648981648,57.2539648967222,41.7837820695227
8,40,0.159107328362223,59.0276724090844,53.7673539175117
8,40,0.159946513231537,59.7851387477575,48.6234472955563
8,40,0.165532537263604,56.9534115939226,39.2083211757525
8,90,0.486098748038278,82.838436992204,50.2900838853451
8,90,0.518735389223323,82.7580695053614,65.4716832049837
8,90,0.531075381092172,83.5141654714823,46.4052078130343
8,90,0.543463577581431,81.020581615339,51.5599582229212
