t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0960524965886648,21.6067147655598,43.0259327088661
9,NaN,59.1402630093197,NaN
10,0.47075129736601,NaN,50.3175389561641
20,3.58467574036704,67.9508176148215,68.7894780605726
30,NaN,32.9660268913045,62.8719043565032
35,1.20746611886748,NaN,NaN
40,NaN,26.9363364401446,NaN
45,0.0940558725292495,NaN,44.7800777283791
50,NaN,21.1822643494808,NaN
55,NaN,NaN,54.0633272035576
60,0.0319049865769269,NaN,NaN
65,NaN,24.0776409476205,NaN
75,NaN,NaN,47.0225734664501
80,-0.0786225794815662,NaN,NaN
85,NaN,22.8451337683756,NaN
90,NaN,NaN,38.9929909449846
100,0.0680247694381554,20.748645791569,43.191231196127
150,-0.00847069353366251,20.9446561643602,46.2822161863148
