t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0531518446819242,24.6747241350178,48.2049210090971
8,NaN,50.238348643038,NaN
10,0.551973256252638,NaN,46.7264231566587
15,NaN,77.6126858642702,NaN
20,3.53886288218627,NaN,54.8449121540755
25,NaN,46.2391054430926,NaN
35,0.998843658333822,29.8148882054785,61.2108127344606
45,NaN,22.0442571330608,52.8327636542458
50,-0.0228229341817371,NaN,NaN
60,NaN,25.2902551656341,37.2163783662554
65,0.0331093664919503,NaN,NaN
75,NaN,21.3816944113397,NaN
80,NaN,NaN,46.0381973432679
85,0.0221062534664995,NaN,NaN
95,NaN,28.733093543366,NaN
100,0.273319933410074,31.0007947922268,45.7629579118254
150,-0.00328963175285599,NaN,52.3945802227904
