t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0375222302801973,22.1276120196102,45.1043369883412
8.5,NaN,NaN,45.2758706477953
10,0.382392045366122,52.9579404897824,NaN
15,NaN,NaN,53.2673117658272
25,1.01473214735047,30.4001666506717,46.6779242700056
35,NaN,NaN,47.463711661532
40,0.0884303417043015,18.6273204085815,NaN
50,NaN,NaN,47.1711081020798
55,0.000800211281957912,15.5107575861967,NaN
65,NaN,NaN,44.7198885675345
70,-0.0200707241033878,19.5078970977482,NaN
80,NaN,NaN,48.977154954453
90,-0.000538995393701699,NaN,NaN
95,NaN,22.9037957871657,49.2373427243587
100,-0.020187939443596,20.4778386138483,45.0124282405655
150,0.0433072837388397,21.9932123688227,NaN
