t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0356129030956694,0.0366079498591967,23.4448608029939,51.498899593619
10,NaN,0.0781264216263254,48.4083317331274,52.5968603913272
15,0.71315510430334,NaN,NaN,NaN
20,NaN,0.941351727626569,NaN,NaN
25,1.62501481211107,NaN,41.4896842293702,57.1127237025502
35,NaN,1.12217428939974,25.738967819862,NaN
40,NaN,NaN,NaN,48.7382608780437
45,0.15067235323088,NaN,NaN,NaN
50,NaN,0.109455254566473,NaN,NaN
55,NaN,NaN,20.2454772435736,43.3521222647229
60,0.0187355545959197,NaN,NaN,NaN
65,NaN,0.0463930642117234,NaN,NaN
70,NaN,NaN,26.3091980725301,47.7502499480552
80,NaN,0.091684199480633,NaN,NaN
85,0.112247178583444,NaN,NaN,NaN
90,NaN,NaN,30.6642135999346,38.7924104962342
100,0.142508407801406,0.116450662436796,30.8897062341301,48.0715950154429
