t,nSOCS3RNA3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0110022296572312,22.1887512704206,55.5826255818257
8,NaN,NaN,46.8297793871824
9.5,NaN,106.519307034891,NaN
10,1.77499148032936,NaN,NaN
15,NaN,NaN,69.886530726986
20,9.25920364118842,67.0848534395834,NaN
25,NaN,NaN,93.5449123939657
30,NaN,42.259691362741,NaN
35,1.18024079619349,NaN,68.1790993532908
45,0.428839607534535,25.1927241072882,56.3699354089192
60,-0.181665255717687,17.4954371525972,36.7911426461775
75,NaN,29.0490148400612,40.2028716221613
80,-0.18523718238747,NaN,NaN
90,NaN,NaN,52.4343786549439
95,NaN,21.332076330324,NaN
100,0.0884746570630552,22.1579604225221,39.5059829435878
150,-0.0998065140770463,NaN,NaN
