t,S3_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,geneG_Obs
0,14.7050589794535,-0.0138375198583445,0.0642340986862923,1.06243077711958
10,14.7871710772944,NaN,NaN,NaN
15,NaN,0.0243819753750402,-0.0325246007485658,1.04383768505081
25,14.7992486155857,-0.00211658342327873,-0.0471102963048731,0.98975999061251
40,13.7401578827754,0.0354588494814948,0.0283397728289847,0.9856919604531
55,14.6881346010664,NaN,NaN,NaN
60,NaN,0.0242782147274481,0.0444837010169452,0.96105651185189
75,14.4733847659484,0.0154808320556889,-0.0327680846675187,0.9763133067615
95,14.1729224959768,NaN,NaN,NaN
100,NaN,-0.0258726951734808,-0.0155549474396861,0.985107202880908
