t,S3_Obs,ppS2_ppS3_S4_Obs,geneG_Obs,Rec_Obs
0,14.097034589796,-0.0551806258944422,1.06871826650197,3.07789422522664
30,NaN,NaN,NaN,2.74281763799267
35,NaN,2.04798125632451,11.6893296836076,NaN
55,3.36775295597194,NaN,NaN,NaN
60,NaN,NaN,NaN,2.58612748479883
75,NaN,2.04225773015544,11.8118840551558,NaN
95,NaN,NaN,NaN,2.3385964201467
100,4.16081385137956,2.00562364477518,11.3985540764434,NaN
150,5.3826502430838,1.76225770075942,10.4881179537486,2.26178464449202
200,NaN,1.43836825999532,9.64092814011528,2.2133643368568
250,9.913973635876,1.18988493398917,8.20296410061629,2.24715770265141
300,11.2182447752447,0.852327147499848,6.73435070525052,2.162713459285
350,12.4278408535848,0.521933906631195,5.54369740651045,2.24783531478946
450,13.3597225554239,0.184341433531677,3.23169732512016,2.28900151150396
500,NaN,NaN,2.21180806725364,2.14560142117244
550,14.1017546564255,0.0765295136570126,NaN,NaN
600,NaN,NaN,1.43313848194993,NaN
650,NaN,0.0855621851159301,NaN,NaN
700,14.5626106610435,NaN,1.10540254155268,NaN
850,14.1105766009838,NaN,NaN,NaN
1000,14.2649934488628,NaN,NaN,NaN
1500,13.6015906605538,NaN,NaN,NaN
