t,S3_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,geneG_Obs
0,13.4314901922887,0.0531339294163128,0.0126721842442622,1.02205344303801
9,NaN,NaN,0.0227393168858703,NaN
10,12.8866361510677,-0.00693110119145556,NaN,1.00998439839487
20,13.9357094097949,NaN,0.0469070615009182,1.09021151842609
25,NaN,0.0376858488562246,NaN,NaN
30,14.5071238682683,NaN,-0.02005326156403,NaN
35,NaN,NaN,NaN,0.982862329236293
40,NaN,0.00804478229996455,-0.0240954368745405,NaN
45,14.6208096155088,NaN,NaN,NaN
50,NaN,NaN,NaN,1.01369487693635
55,NaN,0.0233090871704848,0.00593061478227398,NaN
60,13.226267318064,NaN,NaN,NaN
65,NaN,NaN,NaN,1.05340572851482
70,NaN,0.0365863293581481,-0.00268908148353109,NaN
75,15.2784078439706,NaN,NaN,NaN
85,NaN,NaN,NaN,1.06055042178084
90,NaN,0.0220796063746452,NaN,NaN
