t,S3_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,geneG_Obs
0,229.924832973325,-0.00117628474387263,-0.0808608728861179,0.99770881044261
10,232.549874121617,0.00164054616283546,-0.00295134484053266,0.98625066471151
20,NaN,NaN,NaN,1.02796228944374
25,219.808094581443,-0.0517990944446366,0.00410910523044972,NaN
35,233.991770621707,NaN,NaN,0.91575201150306
40,NaN,0.0143130216055089,-0.0211475048515238,NaN
45,NaN,NaN,NaN,0.976950346388398
55,228.376918781836,-0.0247754303605611,0.0142210922565079,NaN
65,NaN,NaN,NaN,0.984395803552531
70,224.818675046281,-0.0594725956213596,0.00794047724053287,NaN
80,NaN,NaN,NaN,1.07706685280447
90,222.794666751057,NaN,0.0303598127693529,NaN
95,NaN,-0.0140070498667053,NaN,NaN
