t,S3_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,geneG_Obs
0,14.6769512620328,-0.0363782101580397,0.0491887119892397,1.03013861968134
9.5,NaN,0.0117202349224467,NaN,NaN
10,NaN,NaN,0.00269441854152763,NaN
15,14.7090145781587,NaN,NaN,0.929742692460353
20,NaN,0.0535913497914141,NaN,NaN
25,14.181783001737,NaN,-0.00613704971047549,1.04491048844465
30,NaN,-0.110548992824126,NaN,NaN
40,14.23173813839,-0.124848886601238,-0.0070025746373413,0.940288390324003
55,15.1021570705954,-0.0483958906763502,NaN,0.98810466030863
60,NaN,NaN,0.0308651494846296,NaN
70,NaN,0.0243810684949289,NaN,NaN
75,14.4816336464224,NaN,NaN,0.943317882598452
80,NaN,NaN,-0.0165549639401997,NaN
95,13.7352350081668,NaN,NaN,0.984396599802146
