t,S3_Obs,ppS2_ppS3_S4_Obs,geneG_Obs,Rec_Obs
0,225.875221561527,0.110760045866585,0.994939552573336,3.10384109290982
30,NaN,NaN,27.1122306375904,NaN
35,NaN,5.7705690629505,NaN,2.80094579381992
55,60.2855844279233,NaN,NaN,NaN
65,NaN,NaN,30.0018006391459,NaN
70,NaN,6.08739185598512,NaN,NaN
75,NaN,NaN,NaN,2.44327555384433
95,NaN,NaN,28.1650774347213,NaN
100,64.6914117799167,5.81210462505669,NaN,2.5775539678322
150,80.2905695491283,4.98258006188689,25.2778378917986,2.30961868014473
200,NaN,4.01736922960882,22.4094425687934,2.34469435243698
250,150.933822348023,3.20808040665094,15.8000219788743,2.2553647856685
300,167.805783708203,NaN,13.0969302562881,2.12528519216005
350,181.721561688826,1.70487410287559,NaN,NaN
400,NaN,NaN,5.74930991572814,2.19754099176739
450,199.687099048767,NaN,5.22411711642533,2.12808347386608
550,225.499277531195,NaN,2.39900178897205,2.16875646882955
650,NaN,NaN,1.42249698309782,NaN
700,225.08864402692,NaN,NaN,NaN
800,233.050329382829,NaN,NaN,NaN
1000,224.990744066986,NaN,NaN,NaN
1500,234.304159707214,NaN,NaN,NaN
