t,S3_Obs,ppS2_ppS3_S4_Obs,geneG_Obs,Rec_Obs
0,14.4228676364723,-0.029786909232673,1.56786654504091,3.24975605271336
30,NaN,NaN,NaN,2.93402655898056
35,NaN,2.16588931514412,12.4045532839579,NaN
55,3.02676905561615,NaN,NaN,NaN
60,NaN,NaN,NaN,2.85772382478103
70,NaN,2.18917070186703,NaN,NaN
75,NaN,NaN,12.2051339817539,NaN
95,NaN,NaN,NaN,2.32670045309264
100,3.43564600947793,2.08566126449891,12.0807116767775,NaN
150,5.24863123776198,1.89498900243476,11.0414004843677,2.26541590140651
200,NaN,1.61770426988539,9.7709679286837,2.31060122264132
250,8.98838839487506,1.36960802921196,8.93722463715368,2.29481178198994
300,11.0015755175506,1.00488998659618,7.66134998235616,2.16319528415511
350,11.9118042504465,0.707532324713857,NaN,NaN
400,NaN,NaN,4.84158997817574,2.03997442828312
450,13.0901454178967,0.285099476110084,NaN,NaN
500,NaN,NaN,3.3754149330629,2.05007240384903
550,14.1179028788767,0.141855692220888,NaN,NaN
600,NaN,NaN,1.6838866636439,NaN
650,NaN,-0.000406103590789585,NaN,NaN
700,14.4047464251017,NaN,1.10055397135628,NaN
800,15.0816437153863,NaN,NaN,NaN
1000,14.3012152218757,NaN,NaN,NaN
1500,14.0741626309814,NaN,NaN,NaN
