t,SHP1Act_Obs,Compound_1_Obs,Compound_2_Obs,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-0.0164051208755937,2.14528285518273,44.069554654582,0.00276220040363365,-4.08224277293151,-4.8614323631227,-10.250091304488,-0.0202065256745129
7,NaN,NaN,38.8497335904712,NaN,NaN,NaN,NaN,NaN
10,NaN,1.9622717433921,NaN,0.340354970095626,129.21578069365,NaN,NaN,NaN
15,NaN,NaN,37.566228988535,NaN,NaN,27.488038114061,115.313030768726,28.4315611000487
20,0.13461490070858,2.60721508230314,30.1351612173105,0.169846575460375,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,113.335635524426,NaN,NaN,NaN
30,NaN,2.28166745607539,42.3837807018813,NaN,NaN,33.2494356160878,106.247581500411,33.5919102472485
35,NaN,NaN,NaN,0.120995861760699,NaN,NaN,NaN,NaN
40,0.264114349903469,NaN,38.6310329486607,NaN,98.0888243225368,NaN,NaN,NaN
45,NaN,2.57807478034996,NaN,0.0878679060525976,NaN,31.0777400832751,101.729093926582,26.3369417533015
55,NaN,2.48218585836722,46.5006407951286,NaN,86.5857930001159,NaN,NaN,NaN
60,0.300050521007526,NaN,NaN,0.105654073418156,NaN,NaN,78.0436703829022,26.0308018240802
65,NaN,NaN,NaN,NaN,NaN,22.2825856130325,NaN,NaN
70,NaN,1.99763360463385,37.2197759612946,0.105295074547711,63.6330395792072,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,70.1995626337624,20.0691958860659
80,0.263939606138309,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,69.8434817668135,20.8868469476209,NaN,NaN
90,NaN,1.97324950780503,NaN,0.0878654263452993,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,56.2593908499207,20.0823774808813
100,0.29960782887636,2.18092708110865,NaN,0.0876528730658039,58.3621338255557,21.2481639967015,62.6274819857907,21.0176389785693
150,0.301367766689785,1.84024273688541,NaN,0.0919403445285362,70.3490708079474,18.1623820760778,61.4481389954398,20.2225894088414
200,0.242629802817372,2.46067277120993,NaN,0.0917729882078324,63.9963121282832,18.9449681891706,53.311565410358,19.0181956536394
250,0.317773797155557,NaN,NaN,NaN,63.4242160240673,17.4851414546106,57.3848037021698,18.2571661232567
300,0.268152821202633,NaN,NaN,NaN,NaN,14.4075929652755,62.3552895067912,NaN
350,0.272971907973473,NaN,NaN,NaN,NaN,NaN,NaN,NaN
