t,SHP1Act_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs,Compound_11_Obs
0,-0.0134426392334229,0.000455945446124954,-0.230859517922301,3.51218660575093e-07,-46.3993797028959,248.385783052092,0.142215738604989,-23.1757927888793,-21.8309375045862,28.294023271986
5,NaN,NaN,NaN,NaN,NaN,NaN,0.71245829526088,NaN,-34.0623237019304,NaN
6.5,NaN,NaN,1.40928225892063,NaN,37.9604293842945,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,160.427694393267,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.7176770904392,NaN,-19.2652810532881
9,0.204985924941213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.00223040343491641,NaN,0.000168575535862143,NaN,NaN,-0.224158930997396,NaN,83.25781104306,NaN
15,NaN,NaN,-0.951210959691303,NaN,223.749927255915,150.480531647662,-0.234728258263882,NaN,180.531224202996,171.713495139395
20,0.347042316275729,0.00493419142686686,-0.374141240461467,0.000305721801544876,326.66787496199,NaN,0.694618306195948,164.333712520066,242.553393772485,NaN
25,NaN,NaN,NaN,NaN,436.681659389046,465.221779050977,NaN,267.463046372114,NaN,564.455633175558
30,0.491334996495434,NaN,0.853680722289,0.000389534243184765,NaN,NaN,1.03908166617766,NaN,375.658965449547,NaN
35,NaN,0.0299227249767268,3.5170120675924,NaN,550.360826073569,632.07344508586,1.42997346428877,467.059544854359,484.205393451996,774.428601049199
40,0.497904893070318,NaN,NaN,NaN,NaN,603.093290529208,NaN,NaN,NaN,NaN
45,NaN,NaN,4.21595273754775,0.000386100636307889,461.577690462568,NaN,3.90468486681607,475.886702295797,471.189971445417,868.636555343867
50,0.469526076420986,0.0404858040251742,NaN,NaN,NaN,NaN,NaN,NaN,455.901537654583,NaN
55,NaN,NaN,NaN,0.000372851541953078,479.597873249975,757.928693734074,6.27897905304105,NaN,NaN,NaN
60,NaN,0.0364130379617411,7.81713701890254,NaN,NaN,NaN,NaN,532.324537528544,NaN,989.948327065821
65,0.5741969233464,NaN,NaN,NaN,448.595660931751,679.617480216445,8.70559287585823,NaN,431.201169119745,NaN
70,NaN,NaN,9.70730745589117,0.000313183196886423,NaN,NaN,NaN,NaN,NaN,884.873068553496
75,NaN,NaN,NaN,NaN,NaN,NaN,11.4040482537039,470.5186515224,446.256377698771,NaN
80,0.592655925578267,0.0382842023325909,NaN,NaN,345.03658532955,604.026156519041,NaN,NaN,NaN,NaN
85,NaN,NaN,13.0390832381221,NaN,NaN,NaN,NaN,NaN,NaN,672.580124132194
90,NaN,NaN,NaN,0.000244262599257295,NaN,NaN,12.7600542495889,465.530569260862,407.447890559189,NaN
95,NaN,NaN,NaN,NaN,NaN,528.644090790144,NaN,NaN,NaN,NaN
100,0.606976513609136,0.028222718353284,13.2224873897647,0.000265640982555556,351.602006406923,615.553327825868,14.7730180062052,414.542790377104,299.652389707775,702.215685272079
150,0.520550065322298,0.022080991221114,14.5583784380361,0.000211639950937855,344.302882037134,445.00804144371,NaN,232.122972756368,374.220799000805,629.637368140646
200,0.570888735730876,0.0219899319723963,NaN,NaN,NaN,485.755984255825,NaN,275.734384405507,NaN,542.470402954243
