t,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_5_Obs,Compound_6_Obs,Compound_11_Obs
0,-0.000250005486652611,-0.000641867079354213,3.41628065836266e-06,0.0615889428789531,-13.721966129991,11.3021560253769
9,0.00801158824058969,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,7.50050049303607
15,NaN,0.000437567913080647,1.84292796020369e-06,0.18140574543888,15.1391508977591,NaN
20,0.0237676277153844,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,2.11374734758721e-05,NaN,11.2195622176277,5.72697672425114
30,0.0151338958027836,0.000907632874523676,NaN,0.234804234859862,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,30.4537648728605
40,0.00749453619844137,NaN,3.86367058579773e-05,NaN,60.5241817244016,NaN
45,NaN,NaN,NaN,0.106172307740196,NaN,NaN
50,0.00525627271449935,0.00291659571603312,NaN,NaN,NaN,87.5709076603032
55,NaN,NaN,NaN,NaN,102.616109746379,NaN
60,NaN,NaN,4.64433034376358e-05,0.656733876875765,NaN,NaN
65,0.00382886244757057,0.00374726048557509,NaN,NaN,NaN,119.528454514767
70,NaN,NaN,NaN,NaN,102.783402598553,NaN
75,NaN,NaN,4.9096884654133e-05,1.01389195962944,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,112.943935162215
85,0.00266116688732183,0.00477619408228822,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,98.5953640264334,NaN
95,NaN,NaN,3.61715924145127e-05,1.55080569788471,NaN,NaN
100,0.00292042276957259,0.00397963383089463,4.06150326041536e-05,1.32978820920685,106.834333721599,120.74535275476
150,NaN,0.00397845027585164,3.33699480427597e-05,2.08715644666848,103.184828284242,91.5985344761466
200,NaN,0.0038544689831404,4.18094597808508e-05,2.20317419029271,104.663695641699,96.5090717025102
250,NaN,0.00400540968526495,2.96513701987621e-05,1.96433103650853,94.6110434774062,89.9848357394415
300,NaN,0.00343460689527221,NaN,NaN,86.4020205195667,98.3221227515381
