t,EpoRJAK2_CIS_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_5_Obs,Compound_6_Obs,Compound_11_Obs
0,0.981491457913332,-0.00122536897065535,-3.4832674464927e-05,212.512612057423,-70.7930281309554,28.132388573416
2.5,0.812289158013469,NaN,NaN,NaN,NaN,NaN
5,0.263112597138757,NaN,NaN,NaN,NaN,NaN
8,0.0310049401601571,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,206.115775786692
10,0.0106023598915645,NaN,NaN,262.060875862267,-16.9759013822453,NaN
15,0.0439399710367529,0.00343839713075885,0.000144910725190907,NaN,NaN,30.871196594447
20,-0.0243976767867481,NaN,NaN,191.742361204882,NaN,NaN
25,-0.0041076579390994,0.0105769355692856,NaN,NaN,531.47059303624,457.908565821189
30,-0.0237916746906313,NaN,NaN,NaN,NaN,NaN
35,-0.00832910213777315,NaN,0.000557162751783447,236.580349661295,926.515942044557,934.038003422961
40,NaN,0.0370528081577784,NaN,NaN,NaN,NaN
45,-0.0182077106937266,NaN,NaN,256.114300954606,NaN,NaN
50,-0.0139565350586155,NaN,NaN,NaN,1460.4962981342,1362.40346844696
55,NaN,NaN,0.000517966620973392,NaN,NaN,NaN
60,NaN,0.0550123987588305,NaN,285.066567503266,NaN,1386.72380365065
65,NaN,NaN,NaN,NaN,1409.07526545531,NaN
75,NaN,0.0588085097475558,0.000444550798814213,NaN,NaN,1315.23760547189
80,NaN,NaN,NaN,279.618094188136,1381.81283519641,NaN
90,NaN,NaN,NaN,NaN,NaN,1275.52070692039
100,NaN,0.0495977258660714,0.000481052426433132,262.66437561409,1302.33417713534,1249.21743555813
150,NaN,0.0425416513050727,0.000410594026147425,255.296003649721,901.697503623265,1125.77912524922
200,NaN,0.0367381948549564,0.00037964282452055,288.751074333968,956.098595027288,922.774625211311
250,NaN,0.0427174052193437,0.000283675859356526,NaN,973.498617786281,NaN
