t,SHP1Act_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs,Compound_11_Obs
0,-0.0055614612204519,0.00755928195588817,3.462486257442e-05,-65.099640937868,50.4213185826783,65.5443132255917,-0.180299934064159,-77.7617540728208,-4.72203726623284,25.7499631844883
7,NaN,NaN,NaN,NaN,NaN,NaN,2.22822511972406,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,107.182000716881,129.768389753172,NaN,NaN,34.098060411064,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-136.493389070403
9,0.0975870658832025,NaN,NaN,NaN,NaN,NaN,NaN,12.7107826201783,NaN,NaN
9.5,NaN,NaN,NaN,182.992579531719,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.000223234761177541,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,0.00141094238484078,NaN,NaN,91.4623950610854,440.631947536959,0.630758312950547,NaN,182.360467405139,147.153718911811
20,0.131538162095556,NaN,NaN,540.650637415257,NaN,NaN,-0.315637047909124,226.195432566212,NaN,NaN
25,NaN,0.0166984432292221,0.000592459421293136,NaN,286.675088893709,723.561576674759,NaN,NaN,697.586873048175,747.674370594032
30,0.188086608836948,NaN,NaN,696.23215087635,NaN,NaN,1.74930476652074,516.660110175922,NaN,NaN
35,NaN,NaN,0.000643792147303256,NaN,545.499188786434,878.714091032564,NaN,NaN,752.265878117015,1401.8938179626
40,0.182860176978618,0.0500745508276563,NaN,773.602060133099,NaN,876.195590519744,4.9624340581669,764.926586520652,NaN,NaN
45,NaN,NaN,NaN,NaN,785.935716172409,NaN,NaN,NaN,840.373629155566,1614.67035680033
50,0.258000146056571,NaN,0.000681321246204931,843.491416382019,NaN,858.353177833649,7.70864002654656,874.523643715535,NaN,NaN
55,NaN,0.0693940951213587,NaN,NaN,970.618745394044,NaN,NaN,NaN,781.217988324241,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,11.4987235488997,770.941493263352,NaN,1681.0476853122
65,0.251436244667013,NaN,0.000525319223685468,617.164782459299,777.004346031864,800.482878205903,NaN,NaN,NaN,NaN
70,NaN,0.0684289355520003,NaN,NaN,NaN,NaN,NaN,NaN,751.526245710978,1557.19108422935
75,NaN,NaN,NaN,NaN,NaN,674.934225417538,18.1227463685064,750.771277116827,NaN,NaN
80,0.228046181815506,NaN,NaN,714.239777273202,745.300595891238,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.000469805295431329,NaN,NaN,NaN,NaN,NaN,695.809517971795,NaN
90,NaN,0.0549695901597688,NaN,NaN,NaN,707.38227851625,20.4210525846919,676.955942130537,NaN,1332.86163614592
95,NaN,NaN,NaN,NaN,728.437737112528,NaN,NaN,NaN,NaN,NaN
100,0.241512531273828,0.0571908608648363,0.00043947383557108,702.741215163061,725.821152890206,603.283531263688,21.7294233415475,699.141365588966,656.704894918409,1273.54562881817
150,0.250050198037005,0.0403253993179945,0.000319311479368307,466.423890647054,538.207517264679,526.966893917402,24.2605772810221,478.537958854089,505.163409326281,1077.69464629678
200,NaN,0.0367301094533093,NaN,456.136858601084,477.905700734013,441.711436585591,NaN,503.722422232449,412.023140315476,865.212441481291
