t,epo_level,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_5_Obs,Compound_11_Obs
8,2.5e-09,-0.03485034080702,-6.02368309955418e-06,7.72041361301747e-06,0.0904482248533603,-9.37402373857205
8,2.5e-09,-0.0201015575179631,-1.81022253985172e-06,1.38124989154507e-05,-0.00353494407070061,8.02981923343699
8,2.5e-09,0.00832296888384355,2.92550287943428e-05,2.74551647441889e-05,-0.000217612613732498,-10.6979280431672
8,2.5e-08,0.0692339085273031,-2.36256793451613e-05,-1.36100013795402e-05,0.162007537856233,3.74970535991761
8,2.5e-08,0.0715462049982652,5.58091169170071e-05,1.99872620237188e-05,-0.000383066127875586,-8.13315581270976
8,2.5e-08,0.0834197043892071,2.45347034405332e-05,4.00500546914792e-05,0.0299834965842435,-1.44677892014345
8,2.5e-07,0.311667313094344,7.41646782339572e-05,0.000273604599845683,0.40302929368264,23.6697866387963
8,2.5e-07,0.337643495821977,0.000125264211394536,0.000248394282141638,0.413533766998315,40.9800760814122
8,2.5e-07,0.361082105865169,0.000102638221486981,0.00026216203223986,0.363387216327574,35.2064461999289
8,2.5e-06,0.31755821233254,0.000419202266354255,0.000771018917411149,0.92828026279123,120.872407467841
8,2.5e-06,0.32569806815861,0.000435703586260709,0.000799961106761229,0.819696903620373,125.024080314481
8,2.5e-06,0.327879463022944,0.000452667736370738,0.000724711735161324,0.725522743181272,123.799795017822
8,2.5e-05,0.276362701759971,0.000648330240740948,0.00085872244664357,1.3675760387664,168.36497384452
8,2.5e-05,0.27793661366939,0.000689801461996852,0.000880093331853867,1.27497064398598,164.868706350494
8,2.5e-05,0.303511377853243,0.000704288341848461,0.000768636234613785,1.2469627910896,163.277521973144
