t,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_11_Obs
0,0.00200180720135598,-5.00330263695397e-05,59.2023889381038,-1.06980322272456,-161.536370637669
5,NaN,NaN,355.334792224815,NaN,-148.081901751105
7.5,NaN,NaN,NaN,1.84488953093293,NaN
9.5,0.00318437332529267,0.000837607302785885,NaN,NaN,NaN
10,NaN,NaN,873.866998498709,NaN,-116.448500424774
15,NaN,NaN,1207.72190128551,1.00900448345137,811.271787686578
20,0.0246402734731486,0.00124314393536311,1482.82925833565,NaN,1452.28320173395
25,NaN,NaN,NaN,2.85859744983359,NaN
30,0.0742738284096692,0.0012759951114923,1628.51354771191,5.81935335345419,2655.07894616345
35,NaN,NaN,1721.45489819113,NaN,3098.83162898102
40,0.125615189724669,0.00126441528724382,NaN,12.6182279671662,3372.24977790653
45,NaN,NaN,1421.88954520483,NaN,NaN
50,NaN,NaN,NaN,22.3377639343126,3199.65237347268
55,0.130184277573309,0.000951957712760628,1328.26198069144,NaN,NaN
60,NaN,NaN,NaN,NaN,2833.77579461146
65,0.119579441901488,NaN,1473.68746594905,31.882575725704,NaN
70,NaN,0.000869405560835344,NaN,NaN,NaN
75,NaN,NaN,1044.81705945611,NaN,2575.52030350328
80,NaN,NaN,NaN,36.493199569943,NaN
85,0.08822161643396,0.000765272129028826,NaN,NaN,NaN
90,NaN,NaN,1038.02955837866,NaN,2210.26160401285
100,0.0891453184861215,0.00062989109845017,1120.78395659616,44.4809865740021,2074.81267010561
150,0.0799096398503658,0.000634115846774554,844.358891718516,NaN,NaN
