t,epo_level,Compound_10_Obs
20,2.5e-09,-6.22985372809988
20,7.905e-09,-19.8606112328118
20,7.905e-09,54.824305255888
20,7.905e-09,173.700102744902
20,1.25e-08,93.9473124058292
20,1.75e-08,255.30748635146
20,2.5e-08,224.07432817676
20,3.95e-08,323.986638470096
20,7.9e-08,464.313109295628
20,7.9e-08,581.708252233716
20,7.9e-08,616.430432226268
20,1.25e-07,822.415825716194
20,1.7675e-07,980.003352635567
20,2.5e-07,1127.43409424511
20,2.5e-07,1216.06919423141
20,2.5e-07,1338.11542490185
20,7.905e-07,2036.53202360523
20,2.5e-06,2217.21320871604
