t,epo_level,CISRNA_Obs,SOCS3nRNA2_Obs,p1EpoRpJAK2_Obs,Compound_5_Obs,Compound_11_Obs
18,2.5e-09,0.0201603652401152,0.00125602767849836,0.0418649192594064,0.953200359852051,1235.52459453402
18,2.5e-09,0.0201206022674334,0.0012921345379564,0.0493551718122881,0.911501596987392,1248.13629512258
18,2.5e-09,0.0193177310344891,0.00125688319555981,0.0520707878700309,0.97736386982424,1198.32241439717
18,2.5e-08,0.00536708913963036,0.000455939885622391,0.0133493705414734,0.342388879143818,239.723879395374
18,2.5e-08,0.00554162882722903,0.000640573004349996,0.0148724647291626,0.32038853814508,363.613794347123
18,2.5e-08,0.00354180234997556,0.000430136146885927,0.0113960328636256,0.288194321325524,267.147348040648
18,1.25e-07,0.020898714640866,0.00126960090484064,0.0595109405325934,1.3241389718895,1426.58846890484
18,1.25e-07,0.0211589076560131,0.00124763271457214,0.0609502985815965,1.25663713611297,1299.35380806802
18,1.25e-07,0.0216450520992431,0.00125402838276111,0.0646201062734965,1.22587934334736,1273.54108656335
18,2.5e-07,0.00895903637927985,0.000775726584546884,0.024565106020765,0.482465792547252,548.061856095674
18,2.5e-07,0.00874551895704131,0.000757463655203038,0.0232981719718408,0.407568192861203,554.637020217714
18,2.5e-07,0.00790965712688248,0.0006522316475917,0.0251751397247139,0.535107493834832,632.766388496222
18,1.25e-06,0.000449901537418195,-3.01277525800701e-05,0.00380797333052247,0.244860768514626,85.9767971659934
18,1.25e-06,0.000746309409012001,0.00018076445853073,0.0051894151134528,0.133837338133592,84.8174313474975
18,1.25e-06,-0.000226526918497025,0.000100463761256546,0.00662514442425024,0.025596316700292,104.815813347167
18,2.5e-06,8.78177609942755e-05,-9.96608820058682e-06,0.000681176995043315,0.00540160607338892,27.6453913094917
18,2.5e-06,-0.000567975424804479,-6.40710364142076e-05,0.00148023755128942,-0.0459909582566829,-15.5450560453788
18,2.5e-06,0.000358318918405749,8.10995088410798e-06,0.00187573153074704,-0.0110165199089244,-60.5026293292092
