t,SHP1Act_Obs,CISRNA_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,0.0150239329593467,-0.000646034155075954,3.12223264738368e-05,44.1821146468653,218.877231049369,0.65209225646169,-6.69776019198778,-4.42984200173191,70.3576312176681,-131.068029889918
5.5,NaN,NaN,NaN,NaN,NaN,0.0409346131199703,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,43.87241364863,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.7410157095488,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,124.873742314576,NaN
8.5,NaN,NaN,NaN,NaN,212.11677091563,NaN,NaN,NaN,NaN,30.6011091271582
9.5,0.242443320569824,NaN,NaN,NaN,NaN,NaN,43.1164494847692,NaN,NaN,NaN
10,NaN,-0.000399780078585504,0.000175763533148196,123.166421135323,NaN,0.168209615681945,NaN,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,260.38748180721,-0.253462556097702,NaN,158.2041718863,394.769294861171,135.105576410979
20,0.369001683626359,0.00493922830986979,0.000338444698722002,334.717355024032,NaN,NaN,155.639062405748,294.002641142274,NaN,NaN
25,NaN,NaN,NaN,401.117271193994,366.903802728021,0.992735327602024,NaN,399.142955331028,599.714714394322,465.621371240227
30,0.476002756145485,NaN,NaN,NaN,NaN,1.70797278777371,336.832384782527,NaN,NaN,NaN
35,NaN,0.0230812634892461,0.000370845335475726,511.087630878231,543.065517856706,NaN,NaN,538.989404940657,892.41596005586,865.687451790347
40,0.446170528358709,NaN,NaN,481.043237126909,NaN,3.40505302054148,472.726513174998,NaN,NaN,NaN
45,NaN,0.0330345640440797,0.000415610281794497,NaN,613.343282598796,NaN,NaN,475.830187107763,1042.74037467911,928.230680623203
50,NaN,NaN,NaN,430.034974696713,NaN,4.84091976189617,540.084812275121,523.87653195402,NaN,NaN
55,0.483367589868887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,963.011293436797,NaN
60,NaN,0.0375406348289687,0.000380085843050557,NaN,707.670199600253,8.16735925145711,NaN,NaN,NaN,983.948278014257
65,NaN,NaN,NaN,460.636899262615,NaN,NaN,500.708905077406,430.623479091888,901.864208206552,NaN
70,0.561282469881637,NaN,NaN,NaN,593.196604250876,NaN,NaN,NaN,NaN,932.005066915845
75,NaN,NaN,0.000343475593991839,368.120160926357,NaN,10.759072013071,NaN,384.615011233,NaN,NaN
80,NaN,0.0364645507356056,NaN,NaN,NaN,NaN,455.217568221233,NaN,870.65709753788,NaN
85,0.534162161560621,NaN,NaN,NaN,648.824930844372,NaN,NaN,NaN,NaN,884.272400664274
90,NaN,NaN,NaN,397.633013199585,NaN,12.9052092721537,NaN,378.745664447815,NaN,NaN
95,NaN,0.0331188277847287,0.000280554427868592,NaN,NaN,NaN,NaN,NaN,765.220671453548,NaN
100,0.512278545733827,0.0367483376955003,0.000303277500090409,328.572991645711,494.618483271989,13.6283487014527,431.599875536874,359.204257207946,757.342847957539,792.648269464166
150,0.588379088088056,0.0223944261081404,0.000251476079821557,260.131240569472,541.731991833853,NaN,297.774607598846,286.545104998306,548.415482888003,596.237865544939
200,0.588022068432962,0.0246540102330073,0.000215269213174371,NaN,504.32856743211,NaN,328.128447626818,NaN,586.902913426784,587.470627305953
