t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,63505298.8837039,2.62516822014252e-06,0.0453076201323009,4.25187802325916e-05,164.513287403677,-0.000257441934603839,-1.59205386518233e-06
45,20486968.2185889,NaN,NaN,NaN,NaN,NaN,NaN
90,13576519.7909228,NaN,NaN,NaN,NaN,NaN,NaN
150,5458629.35539091,NaN,NaN,NaN,NaN,NaN,NaN
200,133117.349487074,NaN,NaN,NaN,136.399126046608,NaN,NaN
250,1047781.18508202,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,0.0278616901832959,NaN,NaN,NaN
350,2299194.68278292,9.46851025220954e-05,0.0132654212957714,NaN,NaN,NaN,7.06178684114822e-06
400,466406.763190892,NaN,NaN,NaN,176.14750175545,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,0.0101458407759282,NaN
500,-1667626.70849645,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,0.00365029567206932,150.46815398727,NaN,NaN
700,NaN,NaN,0.0238849917999067,NaN,NaN,NaN,3.06747612759053e-05
750,NaN,3.62433378434173e-06,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,NaN,101.379624031721,NaN,NaN
950,NaN,NaN,NaN,NaN,NaN,0.0107025636403114,NaN
1000,NaN,4.41818052300867e-06,0.0335592969133117,0.00111847904733083,190.953628662023,NaN,3.87973766431666e-05
1500,NaN,4.280781009263e-06,0.032342760097384,0.00106209212776472,135.538149633977,0.00956304140754657,4.53381816403074e-05
2000,NaN,5.71405735478226e-06,0.0378862095995059,0.00170707210781675,126.138606184226,0.0072423603959366,4.68964009009427e-05
2500,NaN,NaN,0.0451572862422161,-7.96353970605792e-05,109.461018588216,0.00804960020061251,3.74716471462579e-05
3000,NaN,-2.91431499407579e-07,0.0381659599554086,0.000592296114828918,174.532261551583,0.00644222944576971,4.36188915880352e-05
3500,NaN,NaN,0.0361870362180501,NaN,137.52904226202,NaN,3.28704095762674e-05
4000,NaN,NaN,NaN,0.000831989568920196,165.799061616202,0.00454422910178813,NaN
4500,NaN,NaN,0.0385060282563307,NaN,NaN,NaN,3.17702876386516e-05
5000,NaN,NaN,0.037854849831351,NaN,NaN,0.00424332232248821,2.8074680159225e-05
6000,NaN,NaN,0.0383552013886361,NaN,NaN,0.00201931291930528,1.86877922275412e-05
7000,NaN,NaN,NaN,NaN,NaN,0.00218978931991557,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,1.38195306646745e-05
8500,NaN,NaN,NaN,NaN,NaN,0.00246859852113221,1.1607756836815e-05
