t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,60846499.7997154,-4.22318472907364e-06,0.0505009299180642,-6.36837634291878e-05,133.375308522711,-0.000174560369394904,-1.96763661728679e-06
40,6259573.19640276,NaN,NaN,NaN,NaN,NaN,NaN
80,2743207.52821659,NaN,NaN,NaN,142.009035741746,NaN,NaN
150,1676160.92057182,NaN,NaN,NaN,136.27220446919,NaN,NaN
250,1539564.34911426,NaN,NaN,NaN,141.654860563112,NaN,NaN
300,1252274.10024734,5.60615216768359e-05,0.013607990728519,0.0221908968157652,NaN,NaN,NaN
350,-942855.772392121,NaN,NaN,NaN,114.311075995418,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,1.59219060721269e-05
450,1900778.15160806,NaN,NaN,NaN,150.038996983948,0.00969831756318265,NaN
600,NaN,2.87067851615618e-06,0.031306504036536,NaN,135.068658701366,NaN,NaN
650,NaN,NaN,NaN,0.0028247493025281,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,158.440453714357,NaN,NaN
800,NaN,NaN,NaN,NaN,NaN,NaN,2.8712542018238e-05
900,NaN,NaN,0.0387492294173081,NaN,128.248310429046,NaN,NaN
950,NaN,2.69534260823449e-06,NaN,NaN,NaN,0.0101948090214595,NaN
1000,NaN,NaN,0.0348635909303713,0.00131897511663223,150.420771115833,NaN,3.8457137100861e-05
1500,NaN,3.85288175657307e-06,0.0333084839570469,-1.49045478795546e-05,109.948809966273,0.00834887598058392,4.1356743983949e-05
2000,NaN,4.08762736667962e-06,0.0410044156014556,0.000417715345270657,NaN,0.00663964860124837,4.24753670281688e-05
2500,NaN,3.19148855198964e-06,0.0307208498451637,0.000137992540650314,NaN,0.00573851121096078,3.16893092809865e-05
3000,NaN,NaN,0.0408640322754352,0.000789561229232305,NaN,NaN,NaN
3500,NaN,4.3790942731079e-06,0.0382667623274926,NaN,NaN,0.00474469776971782,3.08438955306799e-05
4000,NaN,NaN,0.0370875968707888,0.000860996546282218,NaN,0.00466163737550675,2.64800955178893e-05
5000,NaN,NaN,0.0506185769713864,NaN,NaN,0.0033511803949135,2.27317774882895e-05
6000,NaN,NaN,NaN,NaN,NaN,0.00265258668218046,1.93340232618073e-05
7000,NaN,NaN,NaN,NaN,NaN,0.00320558842736726,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,1.35955959719204e-05
8500,NaN,NaN,NaN,NaN,NaN,0.00151552114475588,9.69008733075317e-06
