t,EGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs
0,63937833.7980122,-2.05933364631497e-06,0.0534943050847591,0.000162833422883129,150.575164274905,-0.000844203041825457,-9.13076284563567e-07
150,38720967.0337023,NaN,NaN,NaN,NaN,NaN,NaN
300,30996945.8505415,0.000264157471021905,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,1.17226181065336e-06
450,NaN,NaN,0.0309630641152799,0.0211015992876374,130.906261919755,0.00846966872452567,NaN
500,19865936.2617739,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,0.000154366527787302,NaN,NaN,NaN,NaN,NaN
700,12111994.5419869,NaN,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,3.21271150468376e-05
900,7199003.88141013,NaN,NaN,NaN,158.596802482615,NaN,NaN
950,NaN,NaN,0.0324910557060381,0.00930717032848535,NaN,0.0126080019361854,NaN
1000,1873384.45339683,6.773572522542e-05,NaN,NaN,NaN,NaN,NaN
1500,3671981.30446201,3.85908586877271e-05,0.0297046905080185,0.00522937015579293,123.051281027588,0.0107604352532589,5.57589100748398e-05
2000,1156672.37831594,1.77608615902417e-05,0.0374443905689704,0.00184619333135787,128.415581551737,0.0129268432130581,6.40076631354702e-05
2500,2469770.24367769,-3.95695428587847e-06,0.0378831081081558,0.00161581917388834,139.793304547426,0.0121514419984903,NaN
3000,2096804.08674282,-4.59575419749625e-06,NaN,NaN,NaN,0.00812334366164061,4.50721716684793e-05
3500,NaN,3.36071945569672e-06,0.0386318428127393,0.000907062133227237,137.077353559118,NaN,4.52012585091267e-05
4000,NaN,NaN,0.0446206494610327,NaN,NaN,0.00713878681933906,3.70228683026362e-05
4500,NaN,1.67917388705289e-05,NaN,0.000684017911669021,77.1547739513482,NaN,NaN
5000,NaN,NaN,0.0448470305802,NaN,NaN,0.00603205895402438,4.54780409556721e-05
5500,NaN,NaN,NaN,0.000201650265037679,122.319511233748,NaN,NaN
6000,NaN,NaN,0.038323653995326,NaN,NaN,0.00444107751404269,2.99020532263204e-05
6500,NaN,NaN,NaN,-0.00036608032453281,NaN,NaN,NaN
7000,NaN,NaN,0.0474023550071525,NaN,151.946515745868,0.00193931916597587,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,1.51257433638726e-05
8500,NaN,NaN,0.0494902621679777,NaN,125.154040786207,0.00226037796950738,1.18329046473944e-05
